Region_Code,W_REGN_N,Province_Code,W_PROV_N,FOOD_2021,NFOOD_2021,TOTEX_2021,BREAD_2021,MEAT_2021,FISH_2021,MILK_2021,FRUIT_2021,VEG_2021,FOODOUTSIDE_2021,OTHERFOOD_2021,FURNISHING_2021,HEALTH_2021,HOUSINGWATER_2021,TRANSPORT_2021,COMMUNICATION_2021,MISCELLANEOUS_2021,DURABLE_2021,OCCASION_2021,OTHERNFOOD_2021,FOOD_2018,NFOOD_2018,TOTEX_2018,BREAD_2018,MEAT_2018,FISH_2018,MILK_2018,FRUIT_2018,VEG_2018,FOODOUTSIDE_2018,OTHERFOOD_2018,FURNISHING_2018,HEALTH_2018,HOUSINGWATER_2018,TRANSPORT_2018,COMMUNICATION_2018,MISCELLANEOUS_2018,DURABLE_2018,OCCASION_2018,OTHERNFOOD_2018
1000000000,Region X - Northern Mindanao,1001300000,Bukidnon,101676990,120006151,221663505,35570314,15584533,13863306,7887912,4728174,7432797,3102329,13507625,4194507,5334012,43506726,15032448,7239750,17041698,6707497,5861400,15088113,89421545,103702784,193124329,35295854,9390157,10279137,6335743,3008726,5414734,10601807,9095387,4579012,6229472,32466942,11984442,2914392,12019140,9103693,6644263,17761428
1000000000,Region X - Northern Mindanao,1001800000,Camiguin,62599044,92163969,154739109,20847065,9456840,7532225,6167531,2840287,4471923,2124914,9158259,4134770,6972886,33102480,8932104,5292894,12419622,5435226,4094673,11779314,54596235,80007863,134604097,19506336,7418006,6060004,4444345,1616234,3418630,5461618,6671062,3187788,4222151,26395368,7474002,1624806,9285546,6188186,8084390,13545626
1000000000,Region X - Northern Mindanao,1003500000,Lanao del Norte,214677807,251992337,466456626,72008973,26765306,31154654,13679875,9666435,15358287,14752600,31291677,7537309,11489034,107148000,28659036,15980226,33104682,9025953,11283490,27764607,226408225,232880069,459288283,81912246,23245152,31997879,14844036,6549976,12769609,29244944,25844383,8910392,10707526,86054538,28055148,9930906,27863532,9142870,13069510,39145647
1000000000,Region X - Northern Mindanao,1004200000,Misamis Occidental,148783598,177697911,326436557,43204519,24205393,27858898,11490998,6157209,8600325,10693279,16572977,6056743,11331332,56011776,19108182,9684354,21884268,14912261,16308859,22400136,110792331,132268391,243060721,36353952,14513166,20754453,8842738,3101971,6931725,8678562,11615764,5544028,5620886,39985164,14579586,4048506,14875032,12976371,10028436,24610382
1000000000,Region X - Northern Mindanao,1004300000,Misamis Oriental,251731368,387825093,639505491,75956840,41923094,34082044,19167909,10046293,13942656,18465839,38146693,12806255,20553368,158150130,41019540,22974114,50723004,14930347,19827715,46840620,237805347,364081208,601886554,70463445,30848207,27567543,19936479,6258317,13034616,41394379,28302361,13050115,16270685,132872862,43561044,13855644,38056872,17625992,28024014,60763980
100000000,Region I - Ilocos Region,102800000,Ilocos Norte,172899583,201629121,374480375,38689223,38296114,25971486,8904166,7262063,14247775,15178512,24350244,7602942,11911554,72364428,21337128,14007804,30354054,16635173,7364880,20051158,152989069,190362986,343352056,34973785,26264282,16394426,8324671,3586659,9442422,37396629,16606195,7784250,10639782,65780394,21671604,7545846,23938062,13732093,12621817,26649138
100000000,Region I - Ilocos Region,102900000,Ilocos Sur,130485694,192391786,322801133,32774357,29023535,17840097,8308997,5790083,11030459,3702568,22015598,6480799,14206320,74358084,14953542,11677932,23810292,15402934,8781740,22720143,121650270,150985210,272635479,33712683,19355664,12734900,5979281,3062359,7598162,24291196,14916025,6696087,9151027,54091590,17379498,6357120,16703910,10405903,10250774,19949301
100000000,Region I - Ilocos Region,103300000,La Union,145796440,210126819,355832705,34998218,31139577,20032425,9791319,6692974,11060861,9526080,22554986,8485507,16070803,74556684,19486086,12819864,30823866,11288591,8628524,27966894,138990252,170211156,309201407,32905895,20146241,13431444,8305892,4082742,7048965,36783688,16285385,7603752,10182055,53272734,20587854,6513408,22806906,9435753,8864291,30944403
100000000,Region I - Ilocos Region,105500000,Pangasinan,129094454,173185421,302178746,33307081,21491996,16745537,9232799,5851488,9073197,12710316,20682040,6851117,13231919,68118138,15821412,9438342,24219648,7147538,6770674,21586633,139756398,152781928,292538324,34937817,16958133,13775122,9320664,4065877,7485639,37159832,16053314,7605913,7289312,53526834,17191254,5207364,20768280,7436326,6028337,27728308
1100000000,Region XI - Davao,1102300000,Davao del Norte,123864011,159789516,283614329,35443169,18778379,20201810,8632006,4625460,8713770,8903435,18565982,4313273,6595286,69967506,17235588,7380846,19075182,5197103,11384035,18640697,128715711,135808058,264523768,42045132,17476685,18057375,8920077,3526129,7135056,15862345,15692912,4693180,6156918,47543958,16552794,3975258,16645962,12086794,8306253,19846941
1100000000,Region XI - Davao,1102400000,Davao del Sur,235401834,374402015,609728258,69275908,40077320,37003882,17841304,10237564,15428083,11949550,33588223,10008063,17939703,162848766,36951816,20765256,52614228,15668231,14868667,42737285,249480495,313912385,563392869,67349987,33492542,33959174,19427376,6701611,13076566,47811816,27661423,11081453,12478676,117058104,36875838,10359834,35815572,19828199,16524350,53890359
1100000000,Region XI - Davao,1102500000,Davao Oriental,112440113,115830818,228208984,40556667,16351133,19235469,7575588,4631353,7100946,2471008,14517949,4149170,9146357,32394066,14501184,6589440,16396140,3816663,13342247,15495551,107982046,105668584,213650627,40956731,12802787,18315130,6825303,2783084,6209277,8768790,11320944,5087686,3621928,32006604,11570892,2283426,12815082,7365910,11058048,19859008
1100000000,Region XI - Davao,1108200000,Davao de Oro,106247229,106542100,212758161,37023055,14702181,16565548,7892137,4235645,8257784,3083908,14486971,4003047,5249622,36112488,14170296,5460702,14585754,5356368,6732714,14871109,93743247,95957998,189701237,33939653,11853410,13827597,7044845,2528538,6734957,7413839,10400408,4552218,4150654,32165754,11852544,2239848,12257376,5673971,6169032,16896601
1100000000,Region XI - Davao,1108600000,Davao Occidental,97132484,94011842,191122151,33689940,11508893,17648327,6108936,4619814,9074564,1468099,13013911,4709895,4858267,33159876,9624414,3462204,12861480,6037564,5678669,13619473,83885257,75846827,159732082,34849423,7840497,12079422,4495145,2943356,7070772,5442427,9164215,3795077,2824812,23417646,6856080,1100388,9267534,6198695,5772460,16614135
1200000000,Region XII - SOCCSKSARGEN,1204700000,Cotabato,119086520,139810135,258842928,38509674,16372016,20059763,7902532,5807006,9764053,3861865,16809611,4638018,7477772,43748436,18798852,7070742,20051616,9943274,7434993,20646432,112394633,117112114,229506744,36731217,12226121,17663232,7289183,4564265,8885833,11717856,13316926,5315459,8154990,36879510,14223540,2832648,11998656,8138442,7893756,21675113
1200000000,Region XII - SOCCSKSARGEN,1206300000,South Cotabato,227174761,330473323,557560801,68368513,33099318,36185365,17238868,10897712,17650258,13074551,30660176,10011051,22189039,114468030,40876374,18443814,45778488,13791734,15592796,49321997,245540389,320179550,565719934,75911501,26012982,34610856,18361234,7355905,14023993,42684908,26579010,11241241,20808961,92076384,42925728,10210506,38416128,21496464,20424233,62579905
1200000000,Region XII - SOCCSKSARGEN,1206500000,Sultan Kudarat,113042521,123486858,236475056,36977301,14240189,19510936,7198721,6164666,9386908,2856687,16707113,3892789,6069081,39243348,13952226,6241566,17575656,7330839,7374858,21806495,108572460,105241411,213813871,38654582,11100445,15606855,6347584,3479335,7650322,13327993,12405344,4275748,4765055,31754700,12713736,3161358,12536598,7341360,5613536,23079320
1200000000,Region XII - SOCCSKSARGEN,1208000000,Sarangani,99737680,101962456,201664232,34604502,11410130,15698603,6362243,4576312,9131587,3542421,14411882,3211298,4796354,31639482,14201064,4732512,17341938,3303332,6368717,16367759,92479204,88733616,181212817,32773597,8230168,14212137,6212750,2695226,6796536,10045580,11513210,4117217,3315133,25203876,10666704,1903134,11484564,6318579,6111095,19613314
1300000000,National Capital Region,1303900000,First District,228136710,248687547,476745879,37299649,46193874,25740508,12218270,9416895,10946895,59772965,26547654,6800254,10924537,126112218,17054994,16693518,28165458,6182708,4810682,31943178,206729567,279397819,486127380,36640900,27971494,17876173,12845143,6054071,9030983,74891988,21418815,8225856,9823277,117092232,24609678,12157692,30696378,11415639,7519330,57857737
